date,symbol,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-11-14,GOOGL,178.28,178.82,174.32,175.58,175.18,31007500,31007500,-2.7,-1.51,176.75,"November 14, 24",-0.0151
2024-11-15,GOOGL,173.73,174.14,171.22,172.49,172.09,32504649,32504649,-1.24,-0.71375,172.895,"November 15, 24",-0.0071375
2024-11-18,GOOGL,173.42,175.44,172.9,175.3,174.9,20206613,20206613,1.88,1.08,174.265,"November 18, 24",0.0108
2024-11-19,GOOGL,173.72,178.87,173.56,178.12,177.71,23434925,23434925,4.4,2.53,176.0675,"November 19, 24",0.0253
2024-11-20,GOOGL,177.34,177.68,173.78,175.98,175.58,18997111,18997111,-1.36,-0.76689,176.195,"November 20, 24",-0.0076689
2024-11-21,GOOGL,173.9,174.13,163.7,167.63,167.25,59734400,59734400,-6.27,-3.61,169.84,"November 21, 24",-0.0361
2024-11-22,GOOGL,165.85,166.46,163.9,164.76,164.38,38604600,38604600,-1.09,-0.65722,165.2425,"November 22, 24",-0.0065722
2024-11-25,GOOGL,166.09,168.63,165.61,167.65,167.27,33135300,33135300,1.56,0.93925,166.995,"November 25, 24",0.0093925
2024-11-26,GOOGL,167.63,169.82,167.58,169.12,168.73,20486720,20486720,1.49,0.88886,168.5375,"November 26, 24",0.0088886
2024-11-27,GOOGL,169.0,169.48,168.02,169.23,168.84,19266511,19266511,0.23,0.13609,168.9325,"November 27, 24",0.0013609
2024-11-29,GOOGL,168.5,169.43,167.16,168.95,168.56,14257244,14257244,0.45,0.26706,168.51,"November 29, 24",0.0026706
2024-12-02,GOOGL,168.77,172.08,168.57,171.49,171.1,23789100,23789100,2.73,1.61,170.2275,"December 02, 24",0.0161
2024-12-03,GOOGL,171.49,172.68,170.85,171.34,170.95,22248705,22248705,-0.15,-0.08746866,171.59,"December 03, 24",-0.0008746866
2024-12-04,GOOGL,171.15,174.91,171.06,174.37,173.97,31615137,31615137,3.22,1.88,172.8725,"December 04, 24",0.0188
2024-12-05,GOOGL,175.36,176.06,172.33,172.64,172.24,21356243,21356243,-2.72,-1.55,174.0975,"December 05, 24",-0.0155
2024-12-06,GOOGL,172.03,175.08,171.86,174.71,174.31,21462400,21462400,2.68,1.56,173.42,"December 06, 24",0.0156
2024-12-09,GOOGL,173.96,176.26,173.65,175.37,175.17,25389631,25389631,1.41,0.81053,174.81,"December 09, 24",0.0081053
2024-12-10,GOOGL,182.85,186.36,181.05,185.17,184.96,54813022,54813022,2.32,1.27,183.8575,"December 10, 24",0.0127
2024-12-11,GOOGL,185.31,195.61,184.85,195.4,195.18,67894100,67894100,10.09,5.44,190.2925,"December 11, 24",0.0544
2024-12-12,GOOGL,195.0,195.18,191.71,191.96,191.74,34817500,34817500,-3.04,-1.56,193.4625,"December 12, 24",-0.0156
2024-12-13,GOOGL,191.01,192.73,189.64,189.82,189.6,25143500,25143500,-1.19,-0.623,190.8,"December 13, 24",-0.00623
2024-12-16,GOOGL,192.87,199.0,192.62,196.66,196.43,44934901,44934901,3.79,1.97,195.2875,"December 16, 24",0.0197
2024-12-17,GOOGL,197.25,201.42,194.98,195.42,195.2,43504025,43504025,-1.83,-0.92776,197.2675,"December 17, 24",-0.0092776
2024-12-18,GOOGL,195.22,197.0,187.74,188.4,188.18,34166100,34166100,-6.82,-3.49,192.09,"December 18, 24",-0.0349
